название остановки,id остановки
ул. Генерала Сафиуллина-1,stop_173
Поворот на Биргильду,stop_1730
Поворот на Витаминный,stop_1731
Поворот на Полетаево,stop_1732
Поворот на Саргазы,stop_1733
Кафе Ариант,stop_1734
Челябинск – Южные ворота,stop_1735
Челябинск – Центральный автовокзал,stop_1736
Станция Юрмаш,stop_1737
Сады Родничок,stop_1738
Сады Студёный ключ,stop_1739
ул. Ю.Фучика-1,stop_174
БГАУ,stop_1740
Верхнеяркеево – Кафе,stop_1741
Энергостроительный техникум,stop_1742
Поворот на Большой Машляк,stop_1743
Мокрые Курнали,stop_1744
Поворот на Балахчино,stop_1745
Бутлеровка,stop_1746
Поворот на Новоспасск,stop_1747
Левашево,stop_1748
Поворот на Болгар,stop_1749
Проспект Победы,stop_175
Поворот на Караваево,stop_1750
Ялкын,stop_1751
Языково,stop_1752
Демидовка,stop_1753
Каргополь,stop_1754
Поворот на Новые Салманы,stop_1755
Базарные Матаки,stop_1756
Поворот на Тяжбердино,stop_1757
Среднее Биктимирово,stop_1758
Среднее Алькеево,stop_1759
"Станция метро ""Проспект Победы""",stop_176
Нижнее Алькеево-1,stop_1760
Нижнее Алькеево-2,stop_1761
